DateTime,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
2017-01-02 02:30:00,20725.06329,13783.58663,14128.19277
2017-01-02 02:40:00,20889.11392,13608.51064,14081.92771
2017-01-02 02:50:00,20433.41772,13448.02432,13844.81928
2017-01-02 03:00:00,20372.65823,13524.62006,13948.91566
2017-01-02 03:10:00,20135.6962,13480.85106,13966.26506
2017-01-02 03:20:00,20129.62025,13517.32523,13827.46988
2017-01-02 03:30:00,20117.46835,13484.49848,13746.50602
2017-01-02 03:40:00,20087.08861,13437.08207,13642.40964
2017-01-02 03:50:00,19740.75949,13353.19149,13636.62651
2017-01-02 04:00:00,19831.89873,13090.57751,13549.87952
2017-01-02 04:10:00,19989.87342,13218.23708,13503.61446
2017-01-02 04:20:00,20166.07595,13196.35258,13549.87952
2017-01-02 04:30:00,20214.68354,13280.24316,13648.19277
2017-01-02 04:40:00,20141.77215,13287.53799,13717.59036
2017-01-02 04:50:00,20056.70886,13418.84498,13659.75904
2017-01-02 05:00:00,20257.21519,13517.32523,13642.40964
2017-01-02 05:10:00,20500.25316,13612.15805,13844.81928
2017-01-02 05:20:00,20712.91139,13736.17021,13931.56627
2017-01-02 05:30:00,20810.12658,13834.65046,14081.92771
2017-01-02 05:40:00,21041.01266,14057.14286,14174.45783
2017-01-02 05:50:00,21709.36709,14706.38298,14637.10843
2017-01-02 06:00:00,22742.27848,15089.3617,14868.43373
2017-01-02 06:10:00,22948.86076,14961.70213,14729.63855
2017-01-02 06:20:00,23258.73418,15176.8997,14712.28916
2017-01-02 06:30:00,23471.39241,15545.28875,14619.75904
2017-01-02 06:40:00,23653.67089,15749.54407,14573.49398
2017-01-02 06:50:00,23769.11392,15567.17325,14423.13253
2017-01-02 07:00:00,23380.25316,15607.29483,14400.0
