DateTime,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
2017-01-01 09:30:00,23131.13924,nan,13121.92771
2017-01-01 09:40:00,23641.51899,nan,nan
2017-01-01 09:50:00,24668.35443,nan,13850.60241
2017-01-01 10:00:00,25275.94937,15238.90578,nan
2017-01-01 10:10:00,25920.0,nan,14428.91566
2017-01-01 10:20:00,26393.92405,16059.57447,nan
2017-01-01 10:30:00,26861.77215,nan,nan
2017-01-01 10:40:00,nan,16774.46809,nan
2017-01-01 10:50:00,28149.87342,17164.74164,15244.33735
2017-01-01 11:00:00,28714.93671,17507.59878,15591.3253
2017-01-01 11:10:00,29043.03797,17478.41945,15816.86747
2017-01-01 11:20:00,29261.77215,17792.09726,15932.53012
2017-01-01 11:30:00,29474.43038,nan,16053.9759
2017-01-01 11:40:00,29523.03797,17963.52584,nan
2017-01-01 11:50:00,29711.39241,18142.24924,16354.6988
2017-01-01 12:00:00,nan,18131.30699,16562.89157
2017-01-01 12:10:00,29802.53165,18102.12766,nan
2017-01-01 12:20:00,29887.59494,nan,16649.63855
2017-01-01 12:30:00,30039.49367,18335.56231,nan
2017-01-01 12:40:00,nan,nan,17094.93976
2017-01-01 12:50:00,29996.96203,nan,17418.79518
2017-01-01 13:00:00,nan,nan,17413.01205
2017-01-01 13:10:00,30404.05063,18350.15198,17436.14458
2017-01-01 13:20:00,nan,18331.91489,nan
2017-01-01 13:30:00,30161.01266,18419.45289,17465.06024
2017-01-01 13:40:00,nan,18310.0304,17164.33735
2017-01-01 13:50:00,30154.93671,18390.27356,16979.27711
2017-01-01 14:00:00,29984.81013,nan,17054.45783
2017-01-01 14:10:00,nan,nan,nan
2017-01-01 14:20:00,30021.26582,18113.06991,16950.36145
2017-01-01 14:30:00,29911.89873,18036.47416,16823.13253
2017-01-01 14:40:00,29747.8481,17996.35258,16684.33735
2017-01-01 14:50:00,29705.31646,nan,nan
2017-01-01 15:00:00,29571.64557,17894.22492,nan
2017-01-01 15:10:00,nan,17846.80851,nan
2017-01-01 15:20:00,29383.29114,17525.83587,16649.63855
2017-01-01 15:30:00,nan,17547.72036,16586.0241
2017-01-01 15:40:00,28885.06329,17770.21277,16476.14458
2017-01-01 15:50:00,28854.68354,17751.97568,nan
2017-01-01 16:00:00,28836.4557,17646.20061,16256.38554
2017-01-01 16:10:00,28708.86076,nan,16250.60241
2017-01-01 16:20:00,28556.96203,17325.22796,nan
2017-01-01 16:30:00,28514.43038,17456.53495,nan
2017-01-01 16:40:00,28666.32911,17449.24012,nan
2017-01-01 16:50:00,29097.72152,nan,16765.3012
2017-01-01 17:00:00,nan,nan,17719.51807
2017-01-01 17:10:00,30871.89873,nan,19408.19277
2017-01-01 17:20:00,32700.75949,20192.09726,nan
2017-01-01 17:30:00,nan,22238.29787,23942.16867
2017-01-01 17:40:00,nan,nan,nan
2017-01-01 17:50:00,nan,24167.78116,25520.96386
2017-01-01 18:00:00,nan,24455.92705,25544.09639
2017-01-01 18:10:00,39517.97468,24463.22188,nan
2017-01-01 18:20:00,39596.96203,nan,nan
2017-01-01 18:30:00,39469.36709,24251.67173,25792.77108
2017-01-01 18:40:00,39682.02532,24401.21581,nan
2017-01-01 18:50:00,39888.60759,24598.17629,25885.3012
2017-01-01 19:00:00,39991.89873,nan,25989.39759
2017-01-01 19:10:00,40210.63291,24729.48328,26035.66265
2017-01-01 19:20:00,nan,24671.12462,nan
2017-01-01 19:30:00,40435.44304,24678.41945,nan
2017-01-01 19:40:00,40514.43038,24842.55319,26342.16867
2017-01-01 19:50:00,40544.81013,24755.0152,26452.04819
2017-01-01 20:00:00,40283.5443,24919.14894,26469.39759
2017-01-01 20:10:00,nan,25137.99392,26573.49398
2017-01-01 20:20:00,40477.97468,nan,26434.6988
2017-01-01 20:30:00,40611.64557,nan,nan
2017-01-01 20:40:00,nan,25706.99088,26515.66265
2017-01-01 20:50:00,40204.55696,nan,26434.6988
2017-01-01 21:00:00,nan,nan,25966.26506
2017-01-01 21:10:00,39274.93671,nan,25578.79518
2017-01-01 21:20:00,39141.26582,24900.91185,nan
2017-01-01 21:30:00,38643.03797,24827.96353,nan
2017-01-01 21:40:00,38011.13924,24455.92705,24971.56627
2017-01-01 21:50:00,37622.27848,24127.65957,24584.09639
2017-01-01 22:00:00,36953.92405,24000.0,23976.86747
2017-01-01 22:10:00,36394.93671,23872.34043,nan
2017-01-01 22:20:00,35289.11392,23306.99088,22698.79518
2017-01-01 22:30:00,34438.48101,nan,nan
2017-01-01 22:40:00,nan,nan,21813.9759
2017-01-01 22:50:00,33077.46835,21760.48632,21264.57831
2017-01-01 23:00:00,32117.46835,nan,20686.26506
2017-01-01 23:10:00,31357.97468,20768.38906,20397.10843
2017-01-01 23:20:00,30701.77215,nan,nan
2017-01-01 23:30:00,nan,19823.70821,19252.04819
2017-01-01 23:40:00,28830.37975,19488.1459,18847.22892
2017-01-01 23:50:00,nan,18962.91793,18384.57831
2017-01-02 00:00:00,26703.79747,nan,nan
2017-01-02 00:10:00,26169.11392,17507.59878,nan
2017-01-02 00:20:00,nan,nan,16985.06024
2017-01-02 00:30:00,nan,nan,nan
2017-01-02 00:40:00,nan,16453.49544,16366.26506
2017-01-02 00:50:00,nan,16132.5228,16106.0241
2017-01-02 01:00:00,23629.36709,nan,15643.37349
2017-01-02 01:10:00,nan,15304.55927,15307.95181
2017-01-02 01:20:00,22736.20253,nan,15093.9759
2017-01-02 01:30:00,nan,14637.08207,14972.53012
2017-01-02 01:40:00,nan,14414.58967,14833.73494
2017-01-02 01:50:00,21685.06329,14250.45593,14625.54217
2017-01-02 02:00:00,21533.16456,14294.22492,14405.78313
2017-01-02 02:10:00,21107.8481,nan,nan
2017-01-02 02:20:00,20986.32911,13823.70821,14191.80723
2017-01-02 02:30:00,20725.06329,13783.58663,14128.19277
2017-01-02 02:40:00,20889.11392,13608.51064,14081.92771
2017-01-02 02:50:00,20433.41772,13448.02432,13844.81928
2017-01-02 03:00:00,20372.65823,nan,nan
2017-01-02 03:10:00,20135.6962,13480.85106,13966.26506
2017-01-02 03:20:00,nan,13517.32523,13827.46988
2017-01-02 03:30:00,nan,nan,13746.50602
2017-01-02 03:40:00,20087.08861,13437.08207,13642.40964
2017-01-02 03:50:00,19740.75949,nan,nan
2017-01-02 04:00:00,19831.89873,13090.57751,nan
2017-01-02 04:10:00,19989.87342,13218.23708,13503.61446
2017-01-02 04:20:00,nan,nan,13549.87952
2017-01-02 04:30:00,nan,13280.24316,13648.19277
2017-01-02 04:40:00,20141.77215,13287.53799,13717.59036
2017-01-02 04:50:00,20056.70886,13418.84498,13659.75904
2017-01-02 05:00:00,20257.21519,13517.32523,nan
2017-01-02 05:10:00,20500.25316,13612.15805,13844.81928
2017-01-02 05:20:00,20712.91139,13736.17021,nan
2017-01-02 05:30:00,20810.12658,nan,nan
2017-01-02 05:40:00,21041.01266,14057.14286,14174.45783
2017-01-02 05:50:00,21709.36709,14706.38298,14637.10843
2017-01-02 06:00:00,22742.27848,nan,14868.43373
2017-01-02 06:10:00,22948.86076,14961.70213,14729.63855
2017-01-02 06:20:00,23258.73418,15176.8997,14712.28916
2017-01-02 06:30:00,23471.39241,nan,nan
2017-01-02 06:40:00,nan,nan,14573.49398
2017-01-02 06:50:00,23769.11392,15567.17325,14423.13253
2017-01-02 07:00:00,23380.25316,15607.29483,14400.0
2017-01-02 07:10:00,23033.92405,nan,13862.16867
2017-01-02 07:20:00,22803.03797,15964.74164,13052.53012
2017-01-02 07:30:00,23082.53165,15698.48024,12404.81928
2017-01-02 07:40:00,22803.03797,15483.28267,11919.03614
2017-01-02 07:50:00,22268.35443,15501.51976,nan
2017-01-02 08:00:00,22742.27848,15537.99392,11398.55422
2017-01-02 08:10:00,23526.07595,15906.38298,11560.48193
2017-01-02 08:20:00,24340.25316,16289.3617,11774.45783
2017-01-02 08:30:00,24881.01266,16737.99392,12248.6747
2017-01-02 08:40:00,25190.88608,16891.18541,12404.81928
2017-01-02 08:50:00,25531.13924,17135.56231,12358.55422
2017-01-02 09:00:00,25980.75949,17248.63222,nan
2017-01-02 09:10:00,nan,17668.08511,nan
2017-01-02 09:20:00,23629.36709,nan,nan
2017-01-02 09:30:00,nan,18302.73556,nan
2017-01-02 09:40:00,24771.64557,18587.23404,13925.78313
2017-01-02 09:50:00,25148.35443,nan,14324.81928
2017-01-02 10:00:00,25518.98734,nan,14619.75904
2017-01-02 10:10:00,nan,19634.04255,nan
2017-01-02 10:20:00,nan,nan,15238.55422
2017-01-02 10:30:00,26667.34177,nan,15510.36145
2017-01-02 10:40:00,26794.93671,nan,15787.95181
2017-01-02 10:50:00,27281.01266,20498.48024,16094.45783
