DateTime,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
2017-01-02 04:10:00,19989.87342,13218.23708,13607.185104861695
2017-01-02 04:20:00,20166.07595,13196.35258,13549.87952
2017-01-02 04:30:00,20214.68354,13280.24316,13648.19277
2017-01-02 04:40:00,20141.77215,13287.53799,13717.59036
2017-01-02 04:50:00,20056.70886,13582.97872310307,13810.623365748605
2017-01-02 05:00:00,20257.21519,13517.32523,13642.40964
2017-01-02 05:10:00,20500.25316,13612.15805,13844.81928
2017-01-02 05:20:00,21639.259982658976,13736.17021,14781.217841852078
2017-01-02 05:30:00,21532.612201936394,13834.65046,14784.270697168986
2017-01-02 05:40:00,21041.01266,14283.85858966397,14797.291133935372
2017-01-02 05:50:00,21709.36709,14341.017442570148,14832.862431967686
2017-01-02 06:00:00,22742.27848,14651.359786285073,14868.43373
2017-01-02 06:10:00,23000.50633,14961.70213,14729.63855
2017-01-02 06:20:00,23258.73418,15176.8997,14712.28916
2017-01-02 06:30:00,23471.39241,15545.28875,14619.75904
2017-01-02 06:40:00,23620.253165000002,15749.54407,14573.49398
2017-01-02 06:50:00,23769.11392,15678.419450000001,14486.74699
2017-01-02 07:00:00,23380.25316,15607.29483,14400.0
